1360,2			
1360,4	0,2		
1360,4	0		
1364,3	3,9		
1369	4,7		
1392,1	23,1		
1392,1	0		
1388,8	-3,3		
1392,1	3,3		
1388,8	-3,3		
1392,1	3,3		
1388,8	-3,3		
1393,6	4,8		
1391,7	-1,9		
1390,2	-1,5		
1385,9	-4,3		
1393,1	7,2		
1392,1	-1		
1391,2	-0,9		
1392,6	1,4		
1391,2	-1,4		
1391,7	0,5		
1392,1	0,4		
1393,6	1,5		
1396	2,4		
1396	0		
1396	0		
1398,8	2,8		
1401,3	2,5		
1403,7	2,4		
1404,2	0,5		
1406,1	1,9		
1404,6	-1,5		
1406,6	2		
1410,9	4,3		
1408,5	-2,4		
1412,8	4,3		
1409,9	-2,9		
1412,3	2,4		
1413,8	1,5		
1415,7	1,9		
1418,1	2,4		
1420	1,9		
1421,9	1,9		
1425,3	3,4		
1428,7	3,4		
1430,6	1,9		
1433,9	3,3		
1436,8	2,9		
1439,2	2,4		
1440,2	1		
1438,7	-1,5		
1435,9	-2,8		
1437,3	1,4		
1440,7	3,4		
1443,1	2,4		
1445	1,9		
1446,4	1,4		
1447,9	1,5		
1449,8	1,9		
1452,7	2,9		
1455,6	2,9		
1458,9	3,3		
1458,9	0		
1460,4	1,5		
1460,8	0,4		
1464,7	3,9		
1467,6	2,9		
1470,5	2,9		
1472,4	1,9		
1474,8	2,4		
1475,8	1		
1476,2	0,4		
1477,2	1		
1474,3	-2,9		
1474,8	0,5		
1477,2	2,4		
1479,6	2,4		
1483,5	3,9		
1485,9	2,4		
1485,4	-0,5		
1484,9	-0,5		
1487,8	2,9		
1491,1	3,3		
1494,5	3,4		
1495,5	1		
1496,4	0,9		
1496,4	0		
1497,9	1,5		
1498,8	0,9		
1499,3	0,5		
1500,7	1,4		
1504,6	3,9		
1507	2,4		
1508,9	1,9		
1511,3	2,4		
1514,7	3,4		
1515,2	0,5		
1517,6	2,4		
1520,5	2,9		
1522,9	2,4		
1523,4	0,5		
1526,7	3,3		
1528,1	1,4		
1528,1	0		
1527,2	-0,9		
1527,2	0		
1526,2	-1		
1526,2	0		
1530,1	3,9		
1527,2	-2,9		
1529,6	2,4		
1527,2	-2,4		
1528,6	1,4		
1529,6	1		
1532,5	2,9		
1535,4	2,9		
1538,7	3,3		
1541,1	2,4		
1544	2,9		
1547,4	3,4		
1547,9	0,5		
1550,7	2,8		
1553,6	2,9		
1557	3,4		
1559,9	2,9		
1562,3	2,4		
1565,6	3,3		
1568	2,4		
1570,9	2,9		
1574,3	3,4		
1577,7	3,4		
1581	3,3		
1583,9	2,9		
1585,8	1,9		
1586,3	0,5		
1586,8	0,5		
1587,3	0,5		
1587,8	0,5		
1587,8	0		
1587,8	0		
1590,2	2,4		
1590,6	0,4		
1590,6	0		
1590,6	0		
1590,2	-0,4		
1592,1	1,9		
1592,1	0		
1592,5	0,4		
1592,5	0		
1593	0,5		
1592,5	-0,5		
1595	2,5		
1596,9	1,9		
1599,8	2,9		
1602,2	2,4		
1603,1	0,9		
1601,7	-1,4		
1602,7	1		
1602,7	0		
1603,1	0,4		
1602,7	-0,4		
1601,2	-1,5		
1600,7	-0,5		
1601,2	0,5		
1602,2	1		
1602,2	0		
1602,2	0		
1603,6	1,4		
1604,1	0,5		
1603,6	-0,5		
1603,6	0		
1604,1	0,5		
